iteration,method,prediction,true_value,squared_error
0,linear,1,,
1,linear,1,,
2,linear,1,,
3,linear,1,,
4,linear,1,,
5,linear,1,,
6,linear,1,,
7,linear,1,,
8,linear,1,,
9,linear,1,,
10,linear,1,,
11,linear,1,,
12,linear,1,,
13,linear,1,,
14,linear,1,,
15,linear,1,,
16,linear,1,,
17,linear,1,,
0,rf,1,,
1,rf,1,,
2,rf,1,,
3,rf,1,,
4,rf,1,,
5,rf,1,,
6,rf,1,,
7,rf,1,,
8,rf,1,,
9,rf,1,,
10,rf,1,,
11,rf,1,,
12,rf,1,,
13,rf,1,,
14,rf,1,,
15,rf,1,,
16,rf,1,,
17,rf,1,,
0,xgb,1,,
1,xgb,1,,
2,xgb,1,,
3,xgb,1,,
4,xgb,1,,
5,xgb,1,,
6,xgb,1,,
7,xgb,1,,
8,xgb,1,,
9,xgb,1,,
10,xgb,1,,
11,xgb,1,,
12,xgb,1,,
13,xgb,1,,
14,xgb,1,,
15,xgb,1,,
16,xgb,1,,
17,xgb,1,,
