iteration,method,prediction,true_value,squared_error
0,linear,1,,
1,linear,1,,
2,linear,1,,
3,linear,1,,
4,linear,1,,
5,linear,1,,
6,linear,1,,
7,linear,1,,
8,linear,1,,
9,linear,1,,
10,linear,1,,
11,linear,1,,
12,linear,1,,
13,linear,1,,
14,linear,1,,
15,linear,1,,
16,linear,1,,
17,linear,1,,
18,linear,1,,
19,linear,1,,
20,linear,1,,
21,linear,1,,
22,linear,1,,
23,linear,1,,
24,linear,1,,
25,linear,1,,
26,linear,1,,
27,linear,1,,
28,linear,1,,
29,linear,1,,
30,linear,1,,
31,linear,1,,
32,linear,1,,
33,linear,1,,
34,linear,1,,
35,linear,1,,
36,linear,1,,
37,linear,1,,
38,linear,1,,
39,linear,1,,
40,linear,1,,
41,linear,1,,
42,linear,1,,
43,linear,1,,
44,linear,1,,
45,linear,1,,
46,linear,1,,
47,linear,1,,
48,linear,1,,
49,linear,1,,
50,linear,1,,
51,linear,1,,
52,linear,1,,
53,linear,1,,
54,linear,1,,
55,linear,1,,
56,linear,1,,
57,linear,1,,
58,linear,1,,
59,linear,1,,
60,linear,1,,
61,linear,1,,
62,linear,1,,
63,linear,1,,
64,linear,1,,
65,linear,1,,
66,linear,1,,
67,linear,1,,
68,linear,1,,
69,linear,1,,
70,linear,1,,
71,linear,1,,
72,linear,1,,
73,linear,1,,
74,linear,1,,
75,linear,1,,
76,linear,1,,
77,linear,1,,
78,linear,1,,
79,linear,1,,
80,linear,1,,
81,linear,1,,
82,linear,1,,
83,linear,1,,
84,linear,1,,
85,linear,1,,
86,linear,1,,
87,linear,1,,
88,linear,1,,
89,linear,1,,
90,linear,1,,
91,linear,1,,
92,linear,1,,
93,linear,1,,
94,linear,1,,
95,linear,1,,
96,linear,1,,
97,linear,1,,
98,linear,1,,
99,linear,1,,
100,linear,1,,
101,linear,1,,
102,linear,1,,
103,linear,1,,
104,linear,1,,
105,linear,1,,
106,linear,1,,
107,linear,1,,
108,linear,1,,
109,linear,1,,
110,linear,1,,
111,linear,1,,
112,linear,1,,
113,linear,1,,
114,linear,1,,
115,linear,1,,
116,linear,1,,
117,linear,1,,
118,linear,1,,
119,linear,1,,
120,linear,1,,
121,linear,1,,
122,linear,1,,
123,linear,1,,
124,linear,1,,
125,linear,1,,
126,linear,1,,
127,linear,1,,
128,linear,1,,
129,linear,1,,
130,linear,1,,
131,linear,1,,
132,linear,1,,
133,linear,1,,
134,linear,1,,
135,linear,1,,
136,linear,1,,
137,linear,1,,
138,linear,1,,
139,linear,1,,
140,linear,1,,
141,linear,1,,
142,linear,1,,
143,linear,1,,
144,linear,1,,
145,linear,1,,
146,linear,1,,
147,linear,1,,
148,linear,1,,
149,linear,1,,
150,linear,1,,
151,linear,1,,
152,linear,1,,
153,linear,1,,
154,linear,1,,
155,linear,1,,
156,linear,1,,
157,linear,1,,
158,linear,1,,
159,linear,1,,
160,linear,1,,
161,linear,1,,
162,linear,1,,
163,linear,1,,
164,linear,1,,
165,linear,1,,
166,linear,1,,
167,linear,1,,
168,linear,1,,
169,linear,1,,
170,linear,1,,
171,linear,1,,
172,linear,1,,
173,linear,1,,
174,linear,1,,
175,linear,1,,
176,linear,1,,
177,linear,1,,
178,linear,1,,
179,linear,1,,
180,linear,1,,
181,linear,1,,
182,linear,1,,
183,linear,1,,
184,linear,1,,
185,linear,1,,
186,linear,1,,
187,linear,1,,
188,linear,1,,
189,linear,1,,
190,linear,1,,
191,linear,1,,
192,linear,1,,
193,linear,1,,
194,linear,1,,
195,linear,1,,
196,linear,1,,
197,linear,1,,
198,linear,1,,
199,linear,1,,
200,linear,1,,
201,linear,1,,
202,linear,1,,
203,linear,1,,
204,linear,1,,
205,linear,1,,
206,linear,1,,
207,linear,1,,
208,linear,1,,
209,linear,1,,
210,linear,1,,
211,linear,1,,
212,linear,1,,
213,linear,1,,
214,linear,1,,
215,linear,1,,
216,linear,1,,
217,linear,1,,
218,linear,1,,
219,linear,1,,
220,linear,1,,
221,linear,1,,
222,linear,1,,
223,linear,1,,
224,linear,1,,
225,linear,1,,
226,linear,1,,
227,linear,1,,
228,linear,1,,
229,linear,1,,
230,linear,1,,
231,linear,1,,
232,linear,1,,
233,linear,1,,
234,linear,1,,
235,linear,1,,
236,linear,1,,
237,linear,1,,
238,linear,1,,
239,linear,1,,
240,linear,1,,
241,linear,1,,
242,linear,1,,
243,linear,1,,
244,linear,1,,
245,linear,1,,
246,linear,1,,
247,linear,1,,
248,linear,1,,
249,linear,1,,
250,linear,1,,
251,linear,1,,
252,linear,1,,
253,linear,1,,
254,linear,1,,
255,linear,1,,
256,linear,1,,
257,linear,1,,
258,linear,1,,
259,linear,1,,
260,linear,1,,
261,linear,1,,
262,linear,1,,
263,linear,1,,
264,linear,1,,
265,linear,1,,
266,linear,1,,
267,linear,1,,
268,linear,1,,
269,linear,1,,
270,linear,1,,
271,linear,1,,
272,linear,1,,
273,linear,1,,
274,linear,1,,
275,linear,1,,
276,linear,1,,
277,linear,1,,
278,linear,1,,
279,linear,1,,
280,linear,1,,
281,linear,1,,
282,linear,1,,
283,linear,1,,
284,linear,1,,
285,linear,1,,
286,linear,1,,
287,linear,1,,
288,linear,1,,
289,linear,1,,
290,linear,1,,
291,linear,1,,
292,linear,1,,
293,linear,1,,
294,linear,1,,
295,linear,1,,
296,linear,1,,
297,linear,1,,
298,linear,1,,
299,linear,1,,
300,linear,1,,
301,linear,1,,
302,linear,1,,
303,linear,1,,
304,linear,1,,
305,linear,1,,
306,linear,1,,
307,linear,1,,
308,linear,1,,
309,linear,1,,
310,linear,1,,
311,linear,1,,
312,linear,1,,
313,linear,1,,
314,linear,1,,
315,linear,1,,
316,linear,1,,
317,linear,1,,
318,linear,1,,
319,linear,1,,
320,linear,1,,
321,linear,1,,
322,linear,1,,
323,linear,1,,
324,linear,1,,
325,linear,1,,
326,linear,1,,
327,linear,1,,
328,linear,1,,
329,linear,1,,
330,linear,1,,
331,linear,1,,
332,linear,1,,
333,linear,1,,
334,linear,1,,
335,linear,1,,
336,linear,1,,
337,linear,1,,
338,linear,1,,
339,linear,1,,
340,linear,1,,
341,linear,1,,
342,linear,1,,
343,linear,1,,
344,linear,1,,
345,linear,1,,
346,linear,1,,
347,linear,1,,
348,linear,1,,
349,linear,1,,
350,linear,1,,
351,linear,1,,
352,linear,1,,
353,linear,1,,
354,linear,1,,
355,linear,1,,
356,linear,1,,
357,linear,1,,
358,linear,1,,
359,linear,1,,
360,linear,1,,
361,linear,1,,
362,linear,1,,
363,linear,1,,
364,linear,1,,
365,linear,1,,
366,linear,1,,
367,linear,1,,
368,linear,1,,
369,linear,1,,
370,linear,1,,
371,linear,1,,
372,linear,1,,
373,linear,1,,
374,linear,1,,
375,linear,1,,
376,linear,1,,
377,linear,1,,
378,linear,1,,
379,linear,1,,
380,linear,1,,
381,linear,1,,
382,linear,1,,
383,linear,1,,
384,linear,1,,
385,linear,1,,
386,linear,1,,
387,linear,1,,
388,linear,1,,
389,linear,1,,
390,linear,1,,
391,linear,1,,
392,linear,1,,
393,linear,1,,
394,linear,1,,
395,linear,1,,
396,linear,1,,
397,linear,1,,
398,linear,1,,
399,linear,1,,
400,linear,1,,
401,linear,1,,
402,linear,1,,
403,linear,1,,
404,linear,1,,
405,linear,1,,
406,linear,1,,
407,linear,1,,
408,linear,1,,
409,linear,1,,
410,linear,1,,
411,linear,1,,
412,linear,1,,
413,linear,1,,
414,linear,1,,
415,linear,1,,
416,linear,1,,
417,linear,1,,
418,linear,1,,
419,linear,1,,
420,linear,1,,
421,linear,1,,
422,linear,1,,
423,linear,1,,
424,linear,1,,
425,linear,1,,
426,linear,1,,
427,linear,1,,
428,linear,1,,
429,linear,1,,
430,linear,1,,
431,linear,1,,
432,linear,1,,
433,linear,1,,
434,linear,1,,
435,linear,1,,
436,linear,1,,
437,linear,1,,
438,linear,1,,
439,linear,1,,
440,linear,1,,
441,linear,1,,
442,linear,1,,
443,linear,1,,
444,linear,1,,
445,linear,1,,
446,linear,1,,
447,linear,1,,
448,linear,1,,
449,linear,1,,
450,linear,1,,
451,linear,1,,
452,linear,1,,
453,linear,1,,
454,linear,1,,
455,linear,1,,
456,linear,1,,
457,linear,1,,
458,linear,1,,
459,linear,1,,
460,linear,1,,
461,linear,1,,
462,linear,1,,
463,linear,1,,
464,linear,1,,
465,linear,1,,
466,linear,1,,
467,linear,1,,
468,linear,1,,
469,linear,1,,
470,linear,1,,
471,linear,1,,
472,linear,1,,
473,linear,1,,
474,linear,1,,
475,linear,1,,
476,linear,1,,
477,linear,1,,
478,linear,1,,
479,linear,1,,
480,linear,1,,
481,linear,1,,
482,linear,1,,
483,linear,1,,
484,linear,1,,
485,linear,1,,
0,rf,1,,
1,rf,1,,
2,rf,1,,
3,rf,1,,
4,rf,1,,
5,rf,1,,
6,rf,1,,
7,rf,1,,
8,rf,1,,
9,rf,1,,
10,rf,1,,
11,rf,1,,
12,rf,1,,
13,rf,1,,
14,rf,1,,
15,rf,1,,
16,rf,1,,
17,rf,1,,
18,rf,1,,
19,rf,1,,
20,rf,1,,
21,rf,1,,
22,rf,1,,
23,rf,1,,
24,rf,1,,
25,rf,1,,
26,rf,1,,
27,rf,1,,
28,rf,1,,
29,rf,1,,
30,rf,1,,
31,rf,1,,
32,rf,1,,
33,rf,1,,
34,rf,1,,
35,rf,1,,
36,rf,1,,
37,rf,1,,
38,rf,1,,
39,rf,1,,
40,rf,1,,
41,rf,1,,
42,rf,1,,
43,rf,1,,
44,rf,1,,
45,rf,1,,
46,rf,1,,
47,rf,1,,
48,rf,1,,
49,rf,1,,
50,rf,1,,
51,rf,1,,
52,rf,1,,
53,rf,1,,
54,rf,1,,
55,rf,1,,
56,rf,1,,
57,rf,1,,
58,rf,1,,
59,rf,1,,
60,rf,1,,
61,rf,1,,
62,rf,1,,
63,rf,1,,
64,rf,1,,
65,rf,1,,
66,rf,1,,
67,rf,1,,
68,rf,1,,
69,rf,1,,
70,rf,1,,
71,rf,1,,
72,rf,1,,
73,rf,1,,
74,rf,1,,
75,rf,1,,
76,rf,1,,
77,rf,1,,
78,rf,1,,
79,rf,1,,
80,rf,1,,
81,rf,1,,
82,rf,1,,
83,rf,1,,
84,rf,1,,
85,rf,1,,
86,rf,1,,
87,rf,1,,
88,rf,1,,
89,rf,1,,
90,rf,1,,
91,rf,1,,
92,rf,1,,
93,rf,1,,
94,rf,1,,
95,rf,1,,
96,rf,1,,
97,rf,1,,
98,rf,1,,
99,rf,1,,
100,rf,1,,
101,rf,1,,
102,rf,1,,
103,rf,1,,
104,rf,1,,
105,rf,1,,
106,rf,1,,
107,rf,1,,
108,rf,1,,
109,rf,1,,
110,rf,1,,
111,rf,1,,
112,rf,1,,
113,rf,1,,
114,rf,1,,
115,rf,1,,
116,rf,1,,
117,rf,1,,
118,rf,1,,
119,rf,1,,
120,rf,1,,
121,rf,1,,
122,rf,1,,
123,rf,1,,
124,rf,1,,
125,rf,1,,
126,rf,1,,
127,rf,1,,
128,rf,1,,
129,rf,1,,
130,rf,1,,
131,rf,1,,
132,rf,1,,
133,rf,1,,
134,rf,1,,
135,rf,1,,
136,rf,1,,
137,rf,1,,
138,rf,1,,
139,rf,1,,
140,rf,1,,
141,rf,1,,
142,rf,1,,
143,rf,1,,
144,rf,1,,
145,rf,1,,
146,rf,1,,
147,rf,1,,
148,rf,1,,
149,rf,1,,
150,rf,1,,
151,rf,1,,
152,rf,1,,
153,rf,1,,
154,rf,1,,
155,rf,1,,
156,rf,1,,
157,rf,1,,
158,rf,1,,
159,rf,1,,
160,rf,1,,
161,rf,1,,
162,rf,1,,
163,rf,1,,
164,rf,1,,
165,rf,1,,
166,rf,1,,
167,rf,1,,
168,rf,1,,
169,rf,1,,
170,rf,1,,
171,rf,1,,
172,rf,1,,
173,rf,1,,
174,rf,1,,
175,rf,1,,
176,rf,1,,
177,rf,1,,
178,rf,1,,
179,rf,1,,
180,rf,1,,
181,rf,1,,
182,rf,1,,
183,rf,1,,
184,rf,1,,
185,rf,1,,
186,rf,1,,
187,rf,1,,
188,rf,1,,
189,rf,1,,
190,rf,1,,
191,rf,1,,
192,rf,1,,
193,rf,1,,
194,rf,1,,
195,rf,1,,
196,rf,1,,
197,rf,1,,
198,rf,1,,
199,rf,1,,
200,rf,1,,
201,rf,1,,
202,rf,1,,
203,rf,1,,
204,rf,1,,
205,rf,1,,
206,rf,1,,
207,rf,1,,
208,rf,1,,
209,rf,1,,
210,rf,1,,
211,rf,1,,
212,rf,1,,
213,rf,1,,
214,rf,1,,
215,rf,1,,
216,rf,1,,
217,rf,1,,
218,rf,1,,
219,rf,1,,
220,rf,1,,
221,rf,1,,
222,rf,1,,
223,rf,1,,
224,rf,1,,
225,rf,1,,
226,rf,1,,
227,rf,1,,
228,rf,1,,
229,rf,1,,
230,rf,1,,
231,rf,1,,
232,rf,1,,
233,rf,1,,
234,rf,1,,
235,rf,1,,
236,rf,1,,
237,rf,1,,
238,rf,1,,
239,rf,1,,
240,rf,1,,
241,rf,1,,
242,rf,1,,
243,rf,1,,
244,rf,1,,
245,rf,1,,
246,rf,1,,
247,rf,1,,
248,rf,1,,
249,rf,1,,
250,rf,1,,
251,rf,1,,
252,rf,1,,
253,rf,1,,
254,rf,1,,
255,rf,1,,
256,rf,1,,
257,rf,1,,
258,rf,1,,
259,rf,1,,
260,rf,1,,
261,rf,1,,
262,rf,1,,
263,rf,1,,
264,rf,1,,
265,rf,1,,
266,rf,1,,
267,rf,1,,
268,rf,1,,
269,rf,1,,
270,rf,1,,
271,rf,1,,
272,rf,1,,
273,rf,1,,
274,rf,1,,
275,rf,1,,
276,rf,1,,
277,rf,1,,
278,rf,1,,
